countryyear,hhaa_inc1_mean,hhaa_inc2_mean,hhaa_inc3_mean,hhaa_inc4_mean,hhaa_dhi_mean,hhaa_transfer_mean,hhaa_tax_mean,hhaa_allpension_mean,hhaa_pubpension_mean,hhaa_pripension_mean,hhaa_inc1_gini,hhaa_inc2_gini,hhaa_inc3_gini,hhaa_inc4_gini,hhaa_dhi_gini,hhaa_transfer_conc_inc1,hhaa_transfer_conc_inc2,hhaa_transfer_conc_inc3,hhaa_transfer_conc_inc4,hhaa_tax_conc_inc1,hhaa_tax_conc_inc2,hhaa_tax_conc_inc3,hhaa_tax_conc_inc4,hxits_mean,hsscee_mean,hsscer_mean,hssc_mean,hxits_conc_inc3,hsscee_conc_inc3,hsscer_conc_inc3,hssc_conc_inc3,inc1_mean,inc2_mean,inc3_mean,inc4_mean,dhi_mean,transfer_mean,tax_mean,allpension_mean,pubpension_mean,pripension_mean,allpension_conc_inc1,allpension_conc_inc2,allpension_conc_inc3,allpension_conc_inc4,pubpension_conc_inc1,pubpension_conc_inc2,pubpension_conc_inc3,pubpension_conc_inc4,pripension_conc_inc1,pripension_conc_inc2,pripension_conc_inc3,pripension_conc_inc4,inc1_gini,inc2_gini,inc3_gini,inc4_gini,dhi_gini,transfer_conc_inc1,transfer_conc_inc2,transfer_conc_inc3,transfer_conc_inc4,tax_conc_inc1,tax_conc_inc2,tax_conc_inc3,tax_conc_inc4,year,country,tax_kakwani,transfer_kakwani,hhaa_tax_kakwani,hhaa_transfer_kakwani,most_recent_year
at04,45000.1694211083,47771.86483850722,50886.27653468912,30712.83657440972,30999.51697010278,3113.486796517813,20173.07924108606,2770.87232966669,2769.52447434394,1.347855461354799,.3585448153262363,.3345728437175109,.3002628532333124,.268594849122168,.2643442678974535,-.2256667973655551,-.2586681232742004,-.1917387712633676,-.1472077066227239,.3598637929823371,.3593334214037212,.3588525979194211,.3289594127889302,3885.656007797285,3885.656007797285,7717.825519273628,11603.48152467272,.3742148706101325,.3742148706985975,.3642865356238066,.3676112380224609,37396.69517716979,45768.34321737578,48326.5208515328,30390.6343015971,30652.5662891026,2557.617199749753,17936.11061934131,8369.814074509397,8339.177136422899,30.63693795393832,-.4831000256264952,.1068337314711914,.0577958615878814,.2345796856481765,-.4835404833466712,.1055485894561011,.0564800155831335,.2330887368445846,-.3632100288844791,.4566410985412682,.4159606150048525,.6404063427996103,.4578143475019103,.3403424460927622,.3131014275400096,.2724487035856777,.2684039326831687,-.0587949625242584,-.2208096184640696,-.1256936395097319,-.1201386377919549,.3868366643101119,.3950546954139425,.3983081054640848,.3519147456342194,2004,Austria,.08520668,-.56115204,.058589745,-.59324098,0
at07,48558.79786603464,50769.13112214272,54065.85892013679,32303.08525418854,32744.02796739267,3296.72784657803,21762.77371296149,2210.333264257794,2204.020478533579,6.312785683644865,.3825869091748768,.3586375341940418,.3235802282570847,.2816218835765653,.2766040113242789,-.2275822556427068,-.2444044498215061,-.1859023859266979,-.1356459834656576,.4004576173054042,.3985150027654391,.3970038069870916,.358931697677985,3971.103211822022,3971.103211822022,7979.110904602327,11950.2141233053,.4095227721994993,.409522772096076,.399477329963388,.4028154704814369,39786.88371500501,47085.44334850011,49878.30587080054,31108.49727482874,31503.53036523311,2792.862567837687,18769.80865095042,7298.559654153421,7251.201606380703,47.35804941450461,-.4965683247286077,.0168347899880928,-.0220711547246663,.152646726954607,-.4966880416811639,.0136040338558009,-.0253479195985852,.1490859409176543,-.4782380732648121,.5115102291061623,.4796489076957662,.6978545514293699,.4838870022203454,.3715501003936934,.341354197513926,.2888008250798372,.2842349136710738,-.0916738066607967,-.2065401660302188,-.1262756016471097,-.1008570470110952,.4401363769072404,.4433288108492885,.4442567287324705,.3938576121420717,2007,Austria,.10290253,-.57809025,.073423579,-.60304201,0
at13,49066.45200740038,51298.15558251957,54873.53977819891,32834.84496139916,33235.08020794699,3575.384199643224,22038.69485737925,2231.703572560808,2186.467143153355,45.2364282283475,.380547473309675,.3565703420279828,.3167205121117106,.275248540636614,.2690265062271234,-.272696349375542,-.2866709015842407,-.2203425567672986,-.1594673742796255,.3919794774419817,.3907600260064285,.3889364955361232,.3571020861923055,3787.081176849981,3787.081176849981,8084.364831595001,11871.44601548515,.4234519787333508,.4234519787333508,.4043234182765919,.4104255739838466,39974.64520490807,48578.18219319064,51612.54533110244,32387.22098667152,32730.95247884941,3034.36314718565,19225.3243702878,8603.53697118347,8399.851047450482,203.6859223832325,-.4935892441833759,.0521085533162283,.0158685424203338,.1986044301543826,-.4983240649042521,.0440938273073308,.0071461114367513,.18880743804631,-.2983288989317113,.3826296980476734,.3755748990089704,.6026248650682654,.4981940261256233,.3716960681514612,.3377788877989011,.2860816300751965,.2804495737111244,-.1258662880151077,-.2497338558902741,-.1573754666339594,-.1222533609345417,.4353698929874827,.4413295803581564,.4419474648527238,.391481605796845,2013,Austria,.10416858,-.62142992,.072215982,-.64324123,1
au03,31504.90518633525,32214.68470394914,34159.35580243523,25450.76907467903,25656.09273006237,1944.671094444648,8708.586739351056,709.7795218785108,709.7795218785108,0,.4189406296655384,.4029284592245716,.3504159508614216,.3036862050041991,.299151694086697,-.5531295533929446,-.5663441154799163,-.4655295314993551,-.4442220564023205,.4915452342929459,.4912474408170328,.491759111595544,.479550726058416,0,0,1503.635256621325,1503.635256621325,,,.4724148900705825,.4724148899967522,27597.74414036973,29892.31895991266,31677.52730161807,24101.15812312687,24330.0401216032,1785.208344045705,7576.369188833291,2294.57481997995,2294.57481997995,0,-.5203795975635271,-.2152252799348175,-.2727489907336014,-.2060603346801188,-.5203795978072411,-.2152252798352767,-.2727489908631298,-.2060603343490164,,,,,.4835177914446965,.4185374211934109,.3689524612367822,.3152286599135263,.3098915245562011,-.4481522911868289,-.5263668945726236,-.3810922441856877,-.3697939970396353,.5452941613851621,.543253694251149,.5458015616670646,.5307061721399994,2003,Australia,.1768491,-.94490433,.14134316,-.96927255,0
au08,42409.35032953719,43192.06823857667,45476.67639321159,35202.02748089249,35732.25182394031,2284.608142688111,10274.64890929699,782.717905481519,782.4717020696041,0,.4236460028094493,.4113455053425791,.3660503311690557,.3225428088934968,.3142612210546565,-.5186600595725919,-.52709386860234,-.4485156807008279,-.4309541676640349,.5212053032533642,.521557206292127,.5214551885432519,.5059061906578309,0,0,1961.648373717473,1961.648373717473,,,.4657533286740972,.4657533286266899,37160.35141674388,39880.62568592099,41976.57136695092,33072.92187308822,33598.41103522305,2095.945674496227,8903.649497646698,2720.274276275615,2703.764024716641,0,-.4826148502745987,-.1994427945664168,-.2416878004556085,-.1960883426800016,-.4813981879341957,-.199519714387418,-.2429959243428693,-.1980301859376219,,,,,.4886345234653694,.4322350451255423,.389700778210674,.34063259987232,.3332252540457434,-.4167574770633002,-.4718912365647737,-.3573102156450328,-.3452809567315283,.5772650091733447,.5779680038565906,.5790724455874684,.5617867765944435,2008,Australia,.18937166,-.90412629,.15540485,-.93843937,0
au10,41484.80783127512,42363.02377366077,44763.23170267895,35356.05331514354,35845.98311407144,2380.942991005681,9407.178404455166,871.1670602141345,866.9181762991172,0,.4248996645627304,.4092400528153033,.3607571615251141,.3237298719184183,.3169370168080741,-.525625213477267,-.5338674531303204,-.4509246484912083,-.4337761866312987,.507481422557968,.5061516066293511,.5061531882592667,.4911211541293676,0,0,1818.912641215539,1818.912641215539,,,.4651578497520835,.4651578497695094,35980.70612354981,38991.95681419449,41177.32461542947,33216.31529890822,33676.67629503734,2172.11691906956,7961.009335364414,2992.992114158311,2940.571605428431,0,-.5081069272575561,-.1982050197808013,-.2412335161929614,-.1684491126864258,-.5066160959461231,-.1987930233451549,-.243646855605974,-.1718974095272325,,,,,.4897410536868714,.4249269411816978,.379839696384791,.3373304342640274,.330708717608702,-.4217183075663598,-.4809204700966319,-.3562054673316516,-.3454298128078729,.5751195005818658,.5643003333165414,.5658729025967284,.5453281415933252,2010,Australia,.1860332,-.90584743,.14539602,-.94310749,1
ca04,39608.90995201428,40834.21977553144,42955.90541592423,30659.5638576076,31431.80849223128,2121.685630175224,12296.34154133788,1225.309823303658,1225.309823303658,0,.405531749447206,.3930489218048199,.3555228095213957,.3216995042707712,.3168488497721668,-.4044669198457246,-.4099771585776563,-.3212296014859514,-.2869847746237781,.4469767840631897,.4474244434875774,.4461567215655758,.4303302637943573,1419.545197458035,0,2910.674509582898,4330.219704936536,.3234957399181815,,.4005990536170971,.3753228214837837,33950.6698351817,38343.80488017404,40327.02189303315,29456.31053307606,30245.73670138976,1983.217011933657,10870.71134893467,4393.135042857891,4393.135042857891,0,-.5025548128486191,.0716740140664133,.0478448239321677,.1506459629334065,-.5025548123462535,.0716740135444166,.047844824062331,.1506459626610892,,,,,.4801300044314548,.4012956266878767,.365205074872008,.3238927316019925,.3190819238447476,-.2963165310411829,-.3843265512393462,-.2776339704282224,-.2512222573261014,.4797623259591982,.4866172748860914,.4864518207499762,.4631178233815095,2004,Canada,.12124675,-.78562218,.090633914,-.80302608,0
ca07,42362.28093961981,43627.56640791427,45946.43742541448,33279.56697466873,34122.4381137822,2318.871024607719,12666.87046558943,1265.285464666338,1265.285464666338,0,.4066041092160904,.3938982094598924,.3556505626053428,.3203586298548999,.3158770596075947,-.3940911558165591,-.402898278261775,-.3216820933853032,-.2916861969431643,.4546370756519342,.4547280646152003,.4539979626913387,.4395148955964847,1418.6496960644,0,3108.162174829789,4526.811869145464,.3159005954661077,,.3922173199333644,.3683005544092561,36358.32067476246,41058.14840116194,43184.80372640253,32044.63065303228,32942.4412948445,2126.655330384006,11140.17308647753,4699.827730543048,4699.827730543048,0,-.4863641015784472,.0688070594596976,.039972378521999,.1450876221237268,-.4863641015817909,.06880705967632,.0399723786427772,.1450876220656412,,,,,.477075256409801,.3992645062632059,.3635054088738471,.3215754136599788,.3177467147208799,-.2783009863923997,-.3751212192829068,-.2743327322240906,-.2547014223868277,.4893488330680242,.4922204635567056,.4930764980496122,.4703795780292142,2007,Canada,.1295711,-.77438575,.098347403,-.7967965,0
ca10,42334.4918004912,43399.95557090263,46356.96758122269,34269.96550630451,35019.38018619845,2957.01201050897,12087.00208481231,1065.463779570845,1065.463779945828,0,.4021117606914602,.3924327110026641,.3470469022482961,.313398165074853,.3107059462613945,-.3553398588343613,-.3596099829775417,-.2750412706088918,-.2438832066894509,.4493838129544888,.4498840713128449,.4485251963135173,.4334407108523526,1360.865290069876,0,2843.308410941403,4204.173699793498,.3246552804405824,,.3741258281400596,.3581125147038723,36062.32823258744,40559.19687546317,43465.13425938689,32918.51305162701,33715.69271901571,2905.937383821359,10546.62121689864,4496.868646185198,4496.868646583598,0,-.4825727297896706,.0848282634791174,.0572423126078446,.1595214583716836,-.4825727300301189,.0848282635042088,.0572423126318331,.1595214587039009,,,,,.4834074064682365,.408667545062971,.3605047859934902,.3195593157850574,.3172654028417957,-.283968789501002,-.3570085632691332,-.2619672790706307,-.2383723522357265,.4951144593395522,.4981697614667581,.4981836888152892,.4738483050377287,2010,Canada,.13767891,-.76567608,.10147829,-.75204271,0
ca13,44575.46089727303,45829.61491840091,48597.40167168956,35711.56525984975,36413.20402374415,2767.786734155767,12885.83639252065,1254.154015827776,1254.15401366083,0,.3995946847575702,.391123293852003,.3488285168893013,.3194506670893486,.3177391149375468,-.3834529595365701,-.3877526542694241,-.3121373498719401,-.2840061268925547,.4361631221413377,.4369977811224279,.4360044453646659,.4218001122296546,1472.713223276434,0,3087.876518186217,4560.589742117975,.3202547149011207,,.3606754936563274,.3476227484258513,37880.48336575973,42987.90731570873,45625.71972274424,34330.1599322837,35064.65857947351,2637.812396976701,11295.55977795199,5107.423942316115,5107.423939188533,0,-.4406535553927118,.1067315909928597,.081155781875996,.1765354201634736,-.4406535553454208,.1067315915473093,.0811557821565074,.1765354207380883,,,,,.4772425559853062,.4019647457538231,.3590906757312446,.3225338585507846,.3208294282122605,-.2978889955751462,-.3817191517746899,-.2934912243895497,-.2735412412948776,.4744913671210657,.4790812032394379,.4794970776176435,.4566714823840379,2013,Canada,.1204064,-.7836839,.087175928,-.77887595,1
